Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=3f14dada6ac7fb0f,IT Digital Transformation & Mobility Manager,서울,,"Team Manager prepares and delivers input... strategic, long term IT plan in collaboration... line... strategic..."
https://kr.indeed.com/viewjob?jk=56b7b4d4f5ccb034,"Representative, Businesss Services - Finance",대한민국,,"statements and projections * Working knowledge of short and long term budgeting and forecasting, rolling budgets, and product..."
https://kr.indeed.com/viewjob?jk=3ece5c9fc6355693,"Trainer, Retail",서울,,"mindset is core to our business and key to our long- term success. JOB PURPOSE Service excellence ambassador, responsible..."
https://kr.indeed.com/viewjob?jk=537762d2c5b65f3b,Programme Officer,인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=ca01112f2d124b7e,E-Boutique Professional,서울,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
https://kr.indeed.com/viewjob?jk=a34e2184cddacfd7,Head of Digital (New position),서울 강남구,,"meeting our global objectives, • Define the midterm/long term vision and strategy for MSF’s fundraising, communication, HR..."
https://kr.indeed.com/viewjob?jk=a07c1ac31bb7090e,HR Assistant,서울,,experience of using HRIS systems; Understanding of payroll processes Category Human Resources Job Type Fixed Term Contract
https://kr.indeed.com/viewjob?jk=5e828fdb6857cf61,78762P-Sales Engineer,서울,,"foster long- term, trusted business relationships. Communicate key issues and advise customers on short-and long- term product..."
https://kr.indeed.com/viewjob?jk=35e4a1f3c6ad0b5c,Assistant Project Manager ( Fixed Term Contract ),경기도 성남,,Job Description Summary Job Description Responsibilities Own the Customer relationship to understand... perspective...
https://kr.indeed.com/viewjob?jk=164dc35dd8a3106e,"Engineering Program Manager (EPM),",서울,,environment. - Preference given to candidates that open to relocation or long term assignment to other Asian country.
https://kr.indeed.com/viewjob?jk=734d550a6e91a8ba,[촉탁직] 디지털 플랫폼별 세일즈 인력,성남 분당구,,1.채용기간 2022-01-10 - 충원 완료시 2.고용형태 Contractor (Fixed Term) 3.채용직무소개 무역·영업·판매·매장관리>영업관리·영업지원>영업관리|무역·영업·판매·매장관리>영업관리·영업지...
https://kr.indeed.com/viewjob?jk=d0986208b46d0291,"Project Engineer, Korea",서울,,matter experts Contribute... success of Bloom Energy’s long- term process improvement efforts Ensure exemplary safety...
https://kr.indeed.com/viewjob?jk=566c40621d7bb8db,Customer Service Continuous Improvement Automation Specialis...,서울,,whole organization depended... area’s strategy in term of collaboration under one Maersk. • Partner... CUS team...
https://kr.indeed.com/viewjob?jk=5468af620419da64,Alliances Consultant 4,대한민국,,"issues Detailed Description and Job Requirements Builds long term, strategic relationships with named and vertical business..."
https://kr.indeed.com/viewjob?jk=02f7728ea7f5727e,Talent Acquisition Manager,서울,,stakeholders and team members Ability to see short term and long term effects of possible actions Commercial and retail mind...
https://kr.indeed.com/viewjob?jk=5a2b9481ee219d79,Tech Architect,서울,,ability to manage through influence Ability to create long term relationships and deliver programs of major impact within...
https://kr.indeed.com/viewjob?jk=1fe5d621f35822dd,Managing Director - Country Manager Korea,서울,,"projection. You... required to negotiate complex, long- term contracts... get Group buy... business context..."
https://kr.indeed.com/viewjob?jk=b503a93f48475d62,TikTok Live Operations Leader,서울,,live streaming team for South Korea; - Making short term and long term strategy and plans for live streaming development...
https://kr.indeed.com/viewjob?jk=407426c19883579d,Sr. MSL (Rare disease),서울,,skills 5. Strong desire to drive business and establish long- term customer relationships and loyalty 6. Self-motivated...
https://kr.indeed.com/viewjob?jk=9bc3561c9fe47911,Senior Retail Manager,서울,,mindset is core to our business and key to our long- term success. JOB PURPOSE To maximise the retail revenue by driving...
https://kr.indeed.com/viewjob?jk=c93220a010f0f25d,Systems / Network Administrator - OCONUS,대한민국,,Start: TS/SCI with Polygraph Employee Type: Regular-Long Term Assignment Percentage of Travel Required: Up to 10% Type...
https://kr.indeed.com/viewjob?jk=2fbf78febb973d48,Strategic Partnerships Development Manager (Korean),서울,,always trying to exceed... expectations and strengthen our long- term partner relationships. We help grow Google's business...
https://kr.indeed.com/viewjob?jk=b437dbf9f57c9723,C.S.Representative I,서울,,"책임감과 성실성 전화를 통한 고객 응대, 상담 경력 필수 We are proud to have a long- term bonding with our employees: More than 30% of our employees..."
https://kr.indeed.com/viewjob?jk=19cb085ab3848dc8,Account Manager,부산광역시,,leads and close sales to achieve revenue goals and create long- term purchase agreements with key accounts. Generate sales...
